0, 0, Header, 1, 3, 384
1, 0, Start_track
1, 0, Title_t, "L.v.Beethoven 1mov - Piano Sonata No.26 in Eb Major Op.81a\000"
1, 0, Copyright_t, "Copyright(C) 1995-2009, Suzuki Software\000"
1, 0, Sequencer_specific, 9, 67, 123, 0, 88, 70, 48, 50, 0, 1
1, 0, Text_t, "XFhd:2000/09/17:JP:Classical::::L.v.Beethoven:::Kaoru Suzuki\000"
1, 0, Text_t, "XFln:JP:\203s\203A\203m\203\\\203i\203^\221æ26\224Ô\225Ï\203z\222·\222²\215ì\225i81a\201`\221æ1\212y\217Í:L.v.\203x\201[\203g\201[\203\224\203F\203\223:::\227é\202¿\202á\202ñ:\227é\202¿\202á\202ñ\000"
1, 0, Time_signature, 2, 2, 96, 8
1, 0, Sequencer_specific, 3, 0, 0, 65
1, 0, Sequencer_specific, 5, 0, 0, 119, 14, 0
1, 0, Tempo, 1500000
1, 2496, Tempo, 1666666
1, 2880, Tempo, 1500000
1, 3648, Tempo, 1666666
1, 4032, Tempo, 1875000
1, 4224, Tempo, 2000000
1, 4416, Tempo, 2307692
1, 4608, Tempo, 1500000
1, 8256, Tempo, 1621621
1, 8448, Tempo, 1714285
1, 9792, Tempo, 1875000
1, 10368, Tempo, 1666666
1, 11328, Tempo, 1875000
1, 11424, Tempo, 2307692
1, 11712, Tempo, 1764705
1, 12288, Time_signature, 2, 1, 96, 8
1, 12288, Tempo, 260869
1, 62592, Tempo, 285714
1, 63168, Tempo, 260869
1, 143616, Tempo, 272727
1, 144000, Tempo, 294117
1, 144576, Tempo, 260869
1, 178176, Tempo, 272727
1, 178944, Tempo, 285714
1, 179328, Tempo, 300000
1, 179520, Tempo, 333333
1, 179712, Tempo, 260869
1, 185088, Tempo, 272727
1, 185472, Tempo, 285714
1, 185856, Tempo, 260869
1, 190464, Tempo, 272727
1, 191232, Tempo, 285714
1, 191808, Tempo, 300000
1, 192000, Tempo, 272727
1, 193536, Tempo, 260869
1, 197376, Tempo, 272727
1, 197760, Tempo, 285714
1, 197952, Tempo, 300000
1, 198144, Tempo, 272727
1, 199680, Tempo, 260869
1, 206208, Tempo, 272727
1, 206592, Tempo, 285714
1, 206976, Tempo, 300000
1, 207360, Tempo, 272727
1, 211968, Tempo, 260869
1, 226560, Tempo, 272727
1, 229632, Tempo, 285714
1, 232704, Tempo, 300000
1, 233856, Tempo, 272727
1, 234624, Tempo, 260869
1, 235776, Tempo, 272727
1, 236160, Tempo, 300000
1, 236352, Tempo, 333333
1, 236544, Tempo, 260869
1, 284160, Tempo, 267857
1, 284928, Tempo, 283018
1, 285312, Tempo, 309278
1, 285696, Tempo, 285714
1, 285888, Tempo, 272727
1, 286080, Tempo, 260869
1, 344064, Tempo, 272727
1, 344832, Tempo, 285714
1, 345216, Tempo, 300000
1, 345408, Tempo, 333333
1, 345600, Tempo, 272727
1, 347136, Tempo, 260869
1, 369408, Tempo, 272727
1, 369792, Tempo, 300000
1, 370368, Tempo, 272727
1, 370560, Tempo, 260869
1, 407040, Tempo, 272727
1, 408576, Tempo, 285714
1, 409344, Tempo, 300000
1, 409728, Tempo, 333333
1, 409920, Tempo, 375000
1, 410112, Tempo, 260869
1, 437760, Tempo, 272727
1, 439296, Tempo, 285714
1, 440064, Tempo, 300000
1, 440448, Tempo, 333333
1, 440832, Tempo, 272727
1, 442368, Tempo, 260869
1, 450048, Tempo, 272727
1, 453120, Tempo, 285714
1, 453888, Tempo, 312500
1, 454656, Tempo, 333333
1, 454656, End_track
2, 0, Start_track
2, 0, Title_t, "Right"
2, 0, Control_c, 0, 0, 0
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 100
2, 0, Control_c, 0, 10, 78
2, 0, Control_c, 0, 91, 127
2, 0, Key_signature, -3, "minor"
2, 0, Note_on_c, 0, 67, 80
2, 0, Note_on_c, 0, 63, 80
2, 380, Note_off_c, 0, 67, 100
2, 380, Note_off_c, 0, 63, 100
2, 384, Note_on_c, 0, 65, 80
2, 384, Note_on_c, 0, 58, 80
2, 764, Note_off_c, 0, 65, 100
2, 764, Note_off_c, 0, 58, 100
2, 768, Note_on_c, 0, 63, 80
2, 768, Note_on_c, 0, 55, 80
2, 1340, Note_off_c, 0, 63, 100
2, 1340, Note_off_c, 0, 55, 100
2, 1344, Note_on_c, 0, 63, 80
2, 1484, Note_off_c, 0, 63, 100
2, 1488, Note_on_c, 0, 68, 80
2, 1532, Note_off_c, 0, 68, 100
2, 1536, Note_on_c, 0, 67, 80
2, 1724, Note_off_c, 0, 67, 100
2, 1728, Note_on_c, 0, 67, 80
2, 1868, Note_off_c, 0, 67, 100
2, 1872, Note_on_c, 0, 73, 80
2, 1916, Note_off_c, 0, 73, 100
2, 1920, Note_on_c, 0, 72, 80
2, 2108, Note_off_c, 0, 72, 100
2, 2112, Note_on_c, 0, 72, 80
2, 2156, Note_off_c, 0, 72, 100
2, 2160, Note_on_c, 0, 74, 80
2, 2172, Note_off_c, 0, 74, 100
2, 2176, Note_on_c, 0, 72, 80
2, 2188, Note_off_c, 0, 72, 100
